date,rv,rv_corrected,num_binned_obs
2021-09-17,-1.6190308000061657,-1.2926379563385177,8
2021-09-19,-2.238023435289786,-2.0302753016114914,2
2021-09-20,-1.5992819938461638,-1.5788687261597025,43
2021-09-21,-0.6418005167411036,-0.5099162861801675,41
2021-09-22,-0.7751657248532388,-1.1690135652223335,6
2021-09-23,-1.0592321983430595,-0.47645428580087307,14
2021-09-24,-0.48824378066945856,-0.4740249795546306,5
2021-09-25,-0.4038356886060888,-0.9570673488702427,12
2021-09-28,-1.1098510028294102,-1.0712150359464623,37
2021-09-29,0.07378338747376725,-0.1883960164642089,12
2021-09-30,-0.6338034536632473,-1.0908852813138241,14
2021-10-01,-0.43764545303866,-0.5868176721853932,10
2021-10-28,-0.3815087714383458,-0.3125843104315826,44
2021-10-29,0.9005663047635185,0.9831225159544099,47
2021-10-30,1.2223708591965607,1.3134247682940072,46
2021-10-31,0.21953355359753762,0.3090421573393088,47
2021-11-01,0.10450163048935386,-0.02652750969789576,17
2021-11-02,-0.5142963590412817,-0.8482451918032752,23
2021-11-03,-1.1865429597641515,-1.123171806342379,46
2021-11-04,-1.4449272539496822,-1.4092184243023058,43
2021-11-05,-1.145787796877816,-1.259891647641485,28
2021-11-06,-1.2762811638923504,-1.197967137090476,48
2021-11-07,-1.8523479552385336,-1.6661686003389893,21
2021-11-08,-0.3560818131719674,0.0054901470191424245,32
2021-11-09,-0.6941452538140324,-0.28415161149656254,29
2021-11-10,-1.1132263559013509,-1.0359551831486085,48
2021-11-11,-0.8060446695157242,-0.7309616288064132,47
2021-11-12,-0.3721064538735599,-0.2873908223704306,45
2021-11-13,-2.0413002624023466,-1.969391216318167,48
2021-11-14,-2.83113416321427,-2.7540788900802844,46
2021-11-15,-3.508133686493538,-3.3453802008947324,40
2021-11-16,-1.565674886446414,-1.9744147894034885,4
2021-11-18,-1.1725544485927617,-1.223344606577569,34
2021-11-19,-0.9658997638140185,-1.0175043589759203,26
2021-11-20,-0.1232071298104074,-0.9369861132276549,1
2021-11-22,-2.038178776935723,-2.1148354298161443,2
2021-11-23,-1.7186084487036304,-2.140039906651518,1
2021-11-24,0.10691531331491681,-0.40625489612929766,6
2021-11-25,-2.531689390420654,-1.8184026780867704,4
2021-11-26,-0.5513981504835868,-0.5082932847329654,44
2021-11-27,-0.7608726677352009,-0.7522382999548204,44
2021-11-28,-2.98630807611394,-2.9622549466984274,45
2021-11-29,-2.13565258939821,-2.1257396683882566,44
2021-11-30,-2.2659746487183514,-2.130624501870567,37
2021-12-01,-1.8060229959491645,-2.098208069235212,10
2021-12-02,-1.8698448889032047,-1.8361963410169606,29
2021-12-03,-0.7695672802798927,-0.7490971222817916,45
2021-12-04,-0.5206056252861283,-1.0080568060722555,5
2021-12-05,-1.5899424568211176,-1.5717014312915845,44
2021-12-06,-2.195511921771277,-2.2426740026417664,39
2021-12-09,-1.2014839481140642,-1.179609154716216,2
2021-12-10,-0.8366711339079083,-1.0532056217880457,21
2021-12-11,-1.6202685102489411,-1.5909134604641006,42
2021-12-12,-2.0579913243406893,-2.0300204333915506,41
2021-12-13,-0.10374472372534467,-0.21460019788668583,6
2021-12-16,1.4501800667273699,1.4802067747106435,41
2021-12-17,2.602999563068762,2.1364590074758287,9
2021-12-19,1.7391648273450289,1.7448314416939525,37
2021-12-20,0.6650229483336632,0.6845268044712584,31
2021-12-23,0.04420652633495118,-0.17286986227649467,25
2021-12-26,0.247870125845484,0.7177387162395171,3
2022-01-01,-2.947331000888299,-2.9097836815730496,29
2022-01-02,-1.8879575638067856,-1.871889882039456,43
2022-01-03,-2.38387585019143,-2.1581228861098425,9
2022-01-04,-1.422124640461211,-1.406836230364589,43
2022-01-05,-0.9791309397978079,-0.9626741014753589,43
2022-01-06,0.07635242778479337,-0.3670448852679355,10
2022-01-07,-0.3641634274537999,-0.3563118022334048,44
2022-01-09,-1.437244351161852,-1.0006312673827034,15
2022-01-10,-1.0932180261150382,-1.221782774706292,25
2022-01-13,-0.8338643957329588,-1.0721065473383014,3
2022-01-14,0.9899466188514866,0.4747543217668803,4
2022-01-16,-0.3904958202590028,-0.33583667340368695,11
2022-01-17,-0.6505157720318369,-0.45304554069197217,31
2022-01-19,-0.4524866294721676,-0.38957071348474426,2
2022-01-20,-1.3917671468867658,-1.4071435400452912,41
2022-01-21,-1.052244754844129,-1.077838075089444,42
2022-01-23,0.4348415340121793,-0.03285452632903713,12
2022-01-24,-0.8994787077876643,-0.8953330290016511,41
2022-01-25,-0.24469359129225887,-0.12475857589693845,19
2022-01-27,-1.6156193313262954,-1.6807469236539125,39
2022-01-29,-0.048742463996544895,-0.054516005001258624,38
2022-01-30,-0.9063951245885051,-0.9514036950327502,47
2022-01-31,-0.9360266681218766,-1.3921173046749795,14
2022-02-02,-0.06333233944040434,0.15091118470394782,10
2022-02-03,0.8778518341646012,0.8256333006391237,48
2022-02-04,2.078627576119482,2.0284555155140995,48
2022-02-05,1.0003068408946825,0.8351401990878462,39
2022-02-06,1.6538919616885037,1.5968285449731467,45
2022-02-07,0.5612209752112816,0.32947759520021547,34
2022-02-08,0.5325756208146265,0.4631617612039387,41
2022-02-09,-0.045577772035242735,-0.09344796200942879,48
2022-02-10,0.6690866905815428,0.6163317671546651,45
2022-02-11,-0.20240859981769707,-0.23284783722262165,46
2022-02-12,-0.1850847948195336,-0.23347821939699884,44
2022-02-13,-1.8052774926844095,-1.8517358724976543,46
2022-02-14,-1.2575151639102093,-1.3065988186758408,46
2022-02-15,-0.5409281796462394,-0.7393360105905736,34
2022-02-17,-0.44675385110345467,-0.12993467586556975,13
2022-02-18,-1.3601736871602677,-1.400486930247539,44
2022-02-19,-1.2006850398808975,-1.2361502413429972,48
2022-02-20,-1.1710060989029891,-1.5677391379659276,8
2022-02-21,-0.6780539373688225,-1.1230408758796335,11
2022-02-22,-2.041452165347963,-2.1097942549637314,43
2022-02-24,-3.1485308479463194,-2.742679127438271,7
2022-02-25,-2.1237097453112885,-2.1057837709499503,39
2022-02-26,-2.128613083764939,-2.1684027829508588,47
2022-03-01,-2.163443079515809,-2.2014217314494124,47
2022-03-02,-0.3596880566514186,-0.5371953437427145,27
2022-03-03,0.5898523374497829,0.7260950351850751,22
2022-03-04,1.2513494618400727,0.9213804007594611,15
2022-03-05,0.7237386812027603,0.6651374718038512,43
2022-03-06,1.7573930421050388,1.7231463873769215,46
2022-03-10,-1.099960217969096,-1.1229922699312593,45
2022-03-11,-0.7947802062992246,-0.8169180286774643,48
2022-03-12,0.06519608220204257,-0.09607341114623763,27
2022-03-13,-0.2730720405676295,-0.2912491514867297,48
2022-03-14,-0.3994503621530793,-0.5058073637228794,19
2022-03-15,-0.4397436979935767,-0.5815284331933894,30
2022-03-16,-3.0430520618789707,-3.060193469761387,46
2022-03-17,-1.9306686879575237,-1.943870248453226,38
2022-03-18,-3.1188498508404696,-3.134236425966494,47
2022-03-20,-1.8431292492303326,-2.119160126625457,15
2022-03-21,-2.9084204130708886,-2.9455102251716663,44
2022-03-22,-2.963395463398491,-3.016447480178715,39
2022-03-23,-1.765205346648104,-1.772359254470402,46
2022-03-24,-1.1499009201803392,-1.1602278479668566,46
2022-03-30,0.6085881386230736,0.49963482240473595,30
2022-03-31,1.2332519810699814,1.051615491065796,17
2022-04-01,2.4279300312610554,2.4334868274795776,46
2022-04-02,2.078431572783957,2.0779797427001627,46
2022-04-03,1.4363831990639466,1.4765767512143508,28
2022-04-04,-0.22233263880463233,-0.20518841190304943,29
2022-04-06,-0.7233918168474737,-0.714500330411885,46
2022-04-07,-0.26809329334394955,-0.26859341254297836,44
2022-04-08,0.26653547403148453,0.26366061004465946,42
2022-04-09,-0.1209281082881226,-0.26597045497403227,21
2022-04-10,0.1947617219230705,0.1055832886776201,31
2022-04-11,-0.7690303857127097,-0.7675893789970734,46
2022-04-12,-1.93558950281958,-1.900298780176251,5
2022-04-13,-1.1037052509088205,-1.1004573718917452,45
2022-04-14,-0.7812478872561159,-0.7610321230272036,47
2022-04-16,-2.4695299777537256,-2.367653388528495,31
2022-04-17,-1.8460177507810713,-1.8346268172312266,48
2022-04-18,-1.1632048729822495,-1.1621393446363864,37
2022-04-20,1.9835838106632613,1.9922874939711004,46
2022-04-21,3.4511606235433603,3.4520196355551183,45
2022-04-22,4.317649834926071,4.290721134389835,36
2022-04-23,2.687764774780448,2.7167208701656556,44
2022-04-24,1.0536556736469807,1.0080586275650207,35
2022-04-25,0.029587087576980614,0.03969459569405608,38
2022-04-26,0.8452718933351402,0.6754612610434474,2
2022-04-27,-0.033554999377162664,-0.015439836676590133,46
2022-04-28,0.9011086052567564,0.9193109449978417,44
2022-04-29,1.0600095633020805,1.0747549593088337,46
2022-04-30,1.558476850157002,1.48706669672741,16
2022-05-01,1.674157122631175,1.6795059127257894,45
2022-05-02,0.01927127189597299,0.03250777255990471,47
2022-05-13,-0.6963760144892064,-0.6031308869037237,25
2022-05-14,-0.3758642345470543,-0.35370381713109605,44
2022-05-15,-0.1934011568571091,-0.16538063363369226,37
2022-05-16,1.855344277169155,1.8787434300872228,46
2022-05-17,4.318287190534946,4.312837553205663,38
2022-05-18,5.506854894079473,5.528731668684004,44
2022-05-19,5.597071865338014,5.6240517487104285,46
2022-05-20,4.433905123755603,4.45585264207022,43
2022-05-21,3.3525629985430605,3.383639663578409,40
2022-05-22,1.5502300738246368,1.6653523644214894,23
2022-05-23,-0.021915646030494534,-0.01757078969993693,34
2022-05-24,-0.27852625722333857,-0.20548179939442296,31
2022-05-25,-0.3405088242737616,-0.3097889348804532,43
2022-05-26,-0.15596411336231983,-0.13275447465628887,38
2022-05-27,0.7032420002499669,0.7374488709694837,43
2022-05-28,0.8465691927333034,1.0120447371552908,8
2022-05-29,-0.3632268031563026,-0.3297232124624508,37
2022-05-30,-0.33093165851947376,-0.293833034806525,42
2022-05-31,-0.9313814422042671,-0.884763506872327,39
2022-06-01,-1.1066836853105146,-1.0591596858449426,40
2022-06-02,-1.8095563976918154,-1.7562676580602887,26
2022-06-03,-1.73634632991891,-1.696593409817935,42
2022-06-04,-1.8578493170762493,-1.8507855560838995,28
2022-06-05,-2.154153081402559,-2.1036151137422996,23
2022-06-06,-1.4510030323843846,-1.4082699869159072,41
2022-06-07,-2.187696324253127,-2.2998372467385666,12
2022-06-08,-1.8250485985408766,-1.6813517329242662,16
2022-06-09,0.21725787586470868,0.20335435927686885,20
2022-06-11,0.5111050161788181,0.4581395501904437,1
2022-12-01,-0.5032191581254668,-0.7288178072540559,5
2022-12-05,2.8677753173338982,2.5861184237237134,21
2022-12-06,2.4944312499720374,2.8049948722327684,22
2022-12-07,3.405406331659621,3.6227550909752257,22
2022-12-08,1.7652394777266156,1.733700262422831,23
2022-12-09,-0.341432674991003,-0.3288583235227308,42
2022-12-10,-0.2901409200286851,-0.25356013566061936,43
2022-12-11,-0.5929916730271922,-0.8090692262554567,11
2022-12-13,2.081066299560073,1.577777336093514,1
2022-12-14,1.2371210744638872,0.866108230183871,21
2022-12-15,0.3481208235930398,0.3700742468021607,41
2022-12-16,0.7376753085756657,0.7308873083671361,23
2022-12-17,-0.8487574882263876,-0.9226910846515708,17
2022-12-19,-0.4800725868207184,-0.443204866314648,42
2022-12-21,0.7624777242631979,0.7831178509085379,39
2022-12-23,1.7345268864242145,1.7510207152560988,42
2022-12-25,0.16889577969682182,0.45960114046438044,23
2022-12-26,-2.408019856760494,-2.3010609870877765,31
2023-01-03,1.9607505547503443,1.9181852457583874,25
2023-01-04,1.92003437700695,1.959749120990665,35
2023-01-07,2.141891699566058,2.138017267799963,40
2023-01-09,2.4029671434041444,2.1443375149119035,22
2023-01-10,1.3057503603793699,1.9094663189228562,7
2023-01-11,2.5345714210628203,2.9996517566159273,2
2023-01-13,2.311846887952835,2.2535221483748527,5
2023-01-19,5.748009701225637,5.759581189854218,41
2023-01-20,3.1945918287095036,3.1861792544559266,43
2023-01-21,0.6663815964474574,0.6593721628511741,40
2023-01-22,0.42575468910991804,0.2904146552679556,37
2023-01-23,0.5143697023677903,0.12979449039614738,18
2023-01-24,-0.7465468709924415,-0.7706167744274491,44
2023-01-25,-0.8551207875314447,-0.8561308871094991,42
2023-01-26,-0.9183822248048609,-0.9490999943756969,47
2023-01-27,0.2875756579716498,0.06704980933346032,34
2023-01-28,-0.3475770845772328,-0.027122143776200543,19
2023-01-29,0.449088386805667,0.40611188086881594,46
2023-01-30,0.7327196210274176,0.6866442756397972,45
2023-02-02,1.0684588962034243,0.6741676182879716,23
2023-02-03,2.5587053004714946,2.053306472275943,8
2023-02-04,2.566599611393575,2.4673134805016494,44
2023-03-01,-1.4798636901552034,-1.8894462524959654,9
2023-03-03,-0.19278130112804204,-0.1940039337678711,43
2023-03-04,1.9280905425537855,1.8829083841559553,44
2023-03-05,3.9707363377450293,3.5288520741524696,6
2023-03-08,2.3967285144911443,2.407254164235036,44
2023-03-09,2.198384480948998,2.1376104829251603,40
2023-03-13,0.7877464791471024,0.8042841626987286,21
2023-03-14,1.9328829783026562,1.7311536511328949,9
2023-03-17,-2.8515310737037436,-2.530374938391446,7
2023-04-01,-1.4136760942668471,-1.4033911962154104,42
2023-04-02,0.11406978385342229,0.11427464166716354,43
2023-04-03,-0.7834103884604892,-0.7729137091121892,46
2023-04-04,-1.531040769519493,-1.4957099456048881,41
2023-04-05,-0.8205037087615179,-1.0304115639671751,11
2023-04-06,-1.245916406833766,-1.2776083830525122,22
2023-04-07,-0.7030255421015025,-0.9517223519971738,3
2023-04-08,-0.09233720269949637,-0.19272896763970015,22
2023-04-09,0.5054043807178781,0.5856074668552969,35
2023-04-10,0.9522234770880003,0.8736891995250532,27
2023-04-12,2.438289499586894,2.4846212931600387,11
2023-04-13,1.2644180753019985,1.3372858133419234,35
2023-04-14,0.7159514544098299,0.7514103424778252,43
2023-04-15,1.9611969325060994,1.9746136597757769,47
2023-04-16,2.2486565493385586,2.219845958936279,37
2023-04-17,1.8509578045296404,1.8692576602138442,46
2023-04-18,2.017570606590311,2.0200574485816047,15
2023-04-19,0.09038816129592933,0.1039426934185367,46
2023-04-20,-0.3006239382907823,-0.2789210552632767,47
2023-04-21,-1.034173253121005,-1.0133745601776523,48
2023-04-22,-1.0616164260890366,-1.0526633345434098,45
2023-04-23,-0.5315418025418173,-0.44757164867812577,28
2023-04-24,0.06230827186201876,0.08538167041254431,48
2023-04-25,0.28519406956057514,0.29646042991699306,43
2023-04-26,0.675576226717036,0.6956903340692756,48
2023-04-27,0.9237412040148387,0.9516292072948344,41
2023-04-28,1.3321635953671949,1.3651106587966861,38
2023-04-29,0.3251481323410386,0.3389557689153265,42
2023-04-30,-0.3180314373579566,-0.46606882079910583,1
2023-05-02,-1.6927154956378279,-1.6640995707795005,45
2023-05-03,-0.9262957773187755,-0.9972563710813062,16
2023-05-04,0.7073978412086727,0.7304613480423826,46
2023-05-05,2.4604713475585993,2.4872580439821705,47
2023-05-06,2.5819307992046316,2.604856160881072,47
2023-05-07,3.4690412701192384,3.4680208563227333,30
2023-05-08,3.3414251297664603,3.3651836973106164,47
2023-05-09,1.4301858905143332,1.4556004054597143,47
2023-05-10,-0.1886094539560706,-0.13992213090181332,40
2023-05-11,-0.7868055134596217,-0.7684735340776959,42
2023-05-12,0.43505230322596256,0.4445633529383801,41
2023-05-13,1.7444725053113155,1.7623092286306001,41
2023-05-14,1.4218413797252762,1.324094972995004,18
2023-05-15,0.6129252323526571,0.5591831103199415,21
2023-05-16,-1.246338263846511,-1.3450986547881731,4
2023-05-17,-1.9977487960206681,-1.9886729317378473,4
2023-05-20,0.6927242713061303,0.6219330140609808,16
2023-05-21,2.939101287979925,2.9740328384401025,28
2023-05-22,3.6869004894523094,3.7202113208723544,38
2023-05-23,5.1781745049994665,5.255074494911807,36
2023-05-24,3.633504425144702,3.6693046060366035,42
2023-05-25,2.2433099270538315,2.279395206723934,39
2023-05-26,2.020208405839039,2.0622780433106906,43
2023-05-27,0.7431409218567393,0.7845467133654699,43
2023-05-28,-1.3224624111338237,-1.2779587079895547,44
2023-05-29,-3.913700919939301,-3.864352593915569,41
2023-05-30,-2.172547887400268,-2.176712094281871,28
2023-05-31,-2.9530250597370675,-2.9122925576528678,39
2023-06-02,-0.9004108988694864,-0.8625545446288211,38
2023-06-03,1.66032868742563,1.7027185627097272,32
2023-06-04,0.9656585195845423,0.9368073499177159,24
2023-06-06,4.084622781143492,4.196548208698178,28
2023-06-07,4.186446208860936,4.138901524086513,16
2023-06-08,4.513435930090141,4.65590470065717,11
2023-06-09,5.800650001473454,5.945576154636469,23
2023-06-10,4.426666841904764,4.455852802272398,40
2023-06-11,3.1197350448777987,3.1503182711170594,46
2023-06-12,-0.378389052324847,-0.31797644564182437,38
2023-06-13,-2.0110102284722906,-2.005012543293925,41
2023-06-14,-2.454526192728495,-2.4241958222126287,44
2023-06-15,-0.7234752017503546,-0.7046242572188395,47
2023-06-16,0.7150922247859554,0.7623582647013056,37
2023-06-17,2.9939397051532177,2.8641330966117167,23
2023-06-18,4.783077566773276,4.862986508349777,8
2023-06-19,5.4093360742767596,5.294562694066271,21
2023-06-20,4.352143238386478,4.363588783775254,28
2023-06-21,4.046874054299688,3.881852950838798,2
2023-06-22,3.7478101690550916,3.7665734424075685,43
2023-06-23,3.339725935804522,3.346705036314945,44
2023-06-24,3.121238448339313,3.117352202131775,43
2023-06-27,1.189287994792077,1.1996124128547465,45
2023-06-28,0.9715495227733599,0.9783304795018338,41
2023-06-29,-0.18817603474719533,-0.17822114303671077,42
2023-06-30,-1.43164809575302,-1.4107876518293474,38
2023-07-01,-1.2925914245851802,-1.2734387117021158,43
2023-07-02,-1.545401824059259,-1.5266348047243805,45
2023-07-03,1.145106673569492,1.1504935036932173,48
2023-07-04,2.543935798944569,2.546184692768739,47
2023-07-05,3.561427457808535,3.57087857467499,48
2023-07-06,3.3982639188677357,3.4107330543716543,46
2023-07-07,2.659714923927754,2.6746286116938123,45
2023-07-08,2.1810193707118084,2.185891549364451,47
2023-07-10,0.7139312548074599,0.6396085171863597,6
2023-07-11,0.1964217205232793,0.5337266475123885,2
2023-07-12,-0.5430312487485253,-0.33981256311227737,11
2023-07-14,0.9442320072493432,0.7588001130280673,14
2023-07-15,1.7044999005647523,1.9024589412539494,13
2023-07-16,3.909876439548606,3.913643082970819,3
2023-07-19,5.482846172478658,5.389425186076936,27
2023-07-21,2.287249536909433,2.239407587726367,33
2023-07-22,2.727357240495248,2.6512269671029034,21
2023-07-24,2.2620250317607318,2.230525939815889,15
2023-07-27,0.26918793664484575,0.268052397061404,39
2023-07-30,2.312804210251162,2.2976465235078622,32
2023-07-31,2.8090205115353415,2.6030340238168277,21
2023-08-01,2.861141492008402,2.4293838218635253,3
2023-08-02,2.659074142120717,2.733111730538232,37
2023-08-03,1.7919877887287061,1.7956427671116633,42
2023-08-04,1.765895203674923,1.7760076881593139,39
2023-08-05,0.7011487292802224,0.6903024099147922,47
2023-08-06,0.8952010639402315,0.8690171956505146,46
2023-08-08,0.5840120395903623,0.7254490383881759,6
2023-08-11,0.328331417600124,0.8207051413284294,2
2023-08-12,1.3476193112733217,1.3132713152708257,20
2023-08-13,1.9064859713622804,1.3992969953968777,3
2023-08-14,2.981214740610193,3.034658032847762,33
2023-08-15,3.3613250320224193,2.979950475572124,1
2023-08-17,1.6595711393188786,1.5138344278118498,32
2023-08-22,0.3129129685266445,0.19175697152813637,32
2023-08-23,1.3221463788089958,1.032612073075879,6
2023-08-25,1.1875593296342677,0.7163219501298042,11
2023-08-26,1.0309793946794112,1.1460909611431043,15
2023-08-27,0.5874148718757211,0.4468995063744826,22
